"","station","valid","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","Date","Time","Hour","tmpc","dwpc","sms","p01mm","altmb","gustms"
"25","0CO",2023-09-02 00:55:00,50,30.2,46.31,220,3,0,30.72,NA,10,NA,"CLR",2023-09-02,"00:55","2023/09/02 00",10,-1,1.028888,0,861.446705224546,NA
"26","0CO",2023-09-02 01:55:00,50,30.2,46.31,230,3,0,30.72,NA,10,NA,"CLR",2023-09-02,"01:55","2023/09/02 01",10,-1,3.601108,0,861.353252555287,NA
"27","0CO",2023-09-02 02:55:00,48.2,30.2,49.53,240,11,0,30.72,NA,10,15,"CLR",2023-09-02,"02:55","2023/09/02 02",9.66666666666667,-1,3.086664,0,861.353252555287,NA
"28","0CO",2023-09-02 03:55:00,46.4,30.2,53,250,12,0,30.73,NA,10,15,"CLR",2023-09-02,"03:55","2023/09/02 03",8.33333333333333,-1,6.51629066666667,0,861.446705224546,NA
"29","0CO",2023-09-02 04:55:00,48.2,28.4,46.02,220,7,0,30.73,NA,10,NA,"CLR",2023-09-02,"04:55","2023/09/02 04",8.66666666666667,-1.66666666666667,5.14444,0,861.540157893804,NA
"30","0CO",2023-09-02 05:55:00,46.4,28.4,49.24,250,12,0,30.72,NA,10,15,"CLR",2023-09-02,"05:55","2023/09/02 05",8,-2,5.658884,0,861.446705224546,NA
"31","0CO",2023-09-02 06:55:00,44.6,26.6,48.96,240,8,0,30.74,NA,10,NA,"CLR",2023-09-02,"06:55","2023/09/02 06",7.33333333333333,-2.66666666666667,4.45851466666667,0,861.633610563063,NA
"32","0CO",2023-09-02 07:55:00,46.4,28.4,49.24,250,8,0,30.74,NA,10,NA,"CLR",2023-09-02,"07:55","2023/09/02 07",8,-2.33333333333333,4.115552,0,861.820515901579,NA
"33","0CO",2023-09-02 08:55:00,48.2,28.4,46.02,260,10,0,30.75,NA,10,20,"CLR",2023-09-02,"08:55","2023/09/02 08",8.66666666666667,-2.33333333333333,5.31592133333333,0,862.100873909355,NA
"34","0CO",2023-09-02 09:55:00,42.8,33.8,70.28,330,8,0,30.77,NA,10,NA,"CLR",2023-09-02,"09:55","2023/09/02 09",7.66666666666667,-0.333333333333334,4.629996,0,862.38123191713,NA
"35","0CO",2023-09-02 10:55:00,44.6,35.6,70.48,320,8,0,30.77,NA,10,NA,"CLR",2023-09-02,"10:55","2023/09/02 10",7.33333333333333,2,3.42962666666667,0,862.661589924906,NA
"36","0CO",2023-09-02 11:55:00,48.2,35.6,61.52,0,0,0,30.77,NA,10,NA,"CLR",2023-09-02,"11:55","2023/09/02 11",8.33333333333333,2,2.40073866666667,0,862.755042594164,NA
"37","0CO",2023-09-02 12:55:00,51.8,37.4,57.77,320,3,0,30.77,NA,10,NA,"SCT",2023-09-02,"12:55","2023/09/02 12",10,2.66666666666667,2.57222,0,862.661589924906,NA
"38","0CO",2023-09-02 13:55:00,51.8,37.4,57.77,350,7,0,30.77,NA,10,NA,"SCT",2023-09-02,"13:55","2023/09/02 13",11,2.33333333333333,3.25814533333333,0,862.661589924906,NA
"39","0CO",2023-09-02 14:55:00,51.8,39.2,61.99,340,7,0,30.75,NA,10,NA,"SCT",2023-09-02,"14:55","2023/09/02 14",11.3333333333333,3,2.74370133333333,0,862.474684586389,NA
"40","0CO",2023-09-02 15:55:00,50,41,71.07,340,3,0,30.75,NA,10,NA,"SCT",2023-09-02,"15:55","2023/09/02 15",10.3333333333333,4,2.57222,0,862.100873909355,NA
"41","0CO",2023-09-02 16:55:00,50,39.2,66.27,340,6,0,30.75,NA,10,NA,"SCT",2023-09-02,"16:55","2023/09/02 16",10,5,2.74370133333333,0,862.100873909355,NA
"42","0CO",2023-09-02 17:55:00,50,39.2,66.27,300,5,0,30.74,NA,10,NA,"SCT",2023-09-02,"17:55","2023/09/02 17",10.3333333333333,4.33333333333333,2.40073866666667,0,861.913968570838,NA
"43","0CO",2023-09-02 18:55:00,46.4,37.4,70.68,0,0,0,30.74,NA,10,NA,"BKN",2023-09-02,"18:55","2023/09/02 18",8.66666666666667,3,1.37185066666667,0,861.820515901579,NA
"44","0CO",2023-09-02 19:55:00,44.6,33.8,65.61,260,8,0.02,30.74,NA,10,NA,"SCT",2023-09-02,"19:55","2023/09/02 19",6.33333333333333,2,4.28703333333333,4.572,861.820515901579,NA
"45","0CO",2023-09-02 20:55:00,44.6,35.6,70.48,130,4,0,30.77,NA,10,NA,"SCT",2023-09-02,"20:55","2023/09/02 20",7,1.66666666666667,3.25814533333333,0,862.38123191713,NA
"46","0CO",2023-09-02 21:55:00,44.6,35.6,70.48,280,12,0,30.77,NA,10,NA,"OVC",2023-09-02,"21:55","2023/09/02 21",7.66666666666667,2,5.48740266666667,0,862.661589924906,NA
"47","0CO",2023-09-02 22:55:00,44.6,35.6,70.48,310,10,0,30.76,NA,10,NA,"CLR",2023-09-02,"22:55","2023/09/02 22",7,2,4.28703333333333,0,862.568137255647,NA
"48","0CO",2023-09-02 23:55:00,44.6,35.6,70.48,300,10,0,30.75,NA,10,14,"SCT",2023-09-02,"23:55","2023/09/02 23",7,2,3.94407066666667,0,862.100873909355,NA
"49","0CO",2023-09-03 00:55:00,42.8,35.6,75.5,290,9,0,30.74,NA,10,NA,"BKN",2023-09-03,"00:55","2023/09/03 00",6.66666666666667,2,4.115552,0,862.007421240096,NA
"50","0CO",2023-09-03 01:55:00,42.8,37.4,81.07,300,9,0,30.73,NA,10,NA,"BKN",2023-09-03,"01:55","2023/09/03 01",6.33333333333333,2.66666666666667,5.31592133333333,0,861.727063232321,NA
"51","0CO",2023-09-03 02:55:00,44.6,35.6,70.48,270,10,0,30.72,NA,10,NA,"SCT",2023-09-03,"02:55","2023/09/03 02",6.66666666666667,2.33333333333333,4.80147733333333,0,861.353252555287,NA
"52","0CO",2023-09-03 03:55:00,42.8,35.6,75.5,270,11,0,30.71,NA,10,NA,"SCT",2023-09-03,"03:55","2023/09/03 03",6.33333333333333,2,5.14444,0,861.16634721677,NA
"53","0CO",2023-09-03 04:55:00,42.8,35.6,75.5,290,11,0,30.71,NA,10,NA,"OVC",2023-09-03,"04:55","2023/09/03 04",6,2,5.658884,0,860.979441878253,NA
"54","0CO",2023-09-03 05:55:00,42.8,35.6,75.5,290,8,0,30.71,NA,10,16,"CLR",2023-09-03,"05:55","2023/09/03 05",6,1.66666666666667,5.83036533333333,0,860.979441878253,NA
"55","0CO",2023-09-03 06:55:00,42.8,35.6,75.5,0,0,0,30.71,NA,10,NA,"SCT",2023-09-03,"06:55","2023/09/03 06",6,2,3.601108,0,860.979441878253,NA
"56","0CO",2023-09-03 07:55:00,44.6,35.6,70.48,0,0,0,30.71,NA,10,NA,"SCT",2023-09-03,"07:55","2023/09/03 07",7,1.66666666666667,2.74370133333333,0,860.979441878253,NA
"57","0CO",2023-09-03 08:55:00,46.4,33.8,61.28,260,7,0,30.7,NA,10,NA,"CLR",2023-09-03,"08:55","2023/09/03 08",7.66666666666667,1.33333333333333,2.91518266666667,0,860.792536539736,NA
"58","0CO",2023-09-03 09:55:00,50,35.6,57.52,220,7,0,30.7,NA,10,NA,"SCT",2023-09-03,"09:55","2023/09/03 09",9.66666666666667,2,3.77258933333333,0,860.699083870478,NA
"59","0CO",2023-09-03 10:55:00,51.8,35.6,53.81,150,11,0,30.68,NA,10,23,"SCT",2023-09-03,"10:55","2023/09/03 10",10.3333333333333,2,4.28703333333333,0,860.325273193444,11.832212
"60","0CO",2023-09-03 11:55:00,48.2,33.8,57.26,230,8,0,30.66,NA,10,23,"BKN",2023-09-03,"11:55","2023/09/03 11",10.6666666666667,1.66666666666667,4.45851466666667,0,859.858009847152,NA
"61","0CO",2023-09-03 12:55:00,44.6,39.2,81.2,210,6,0.01,30.63,NA,10,16,"SCT",2023-09-03,"12:55","2023/09/03 12",9,3,3.77258933333333,0.762,859.110388493084,11.317768
"62","0CO",2023-09-03 13:55:00,44.6,33.8,65.61,170,30,0,30.62,NA,5,39,"SCT",2023-09-03,"13:55","2023/09/03 13",9.33333333333333,2.66666666666667,8.05962266666667,0,858.549672477533,NA
"63","0CO",2023-09-03 14:55:00,51.8,37.4,57.77,NA,NA,0,30.57,NA,10,NA,"SCT",2023-09-03,"14:55","2023/09/03 14",10.3333333333333,3.33333333333333,NA,0,857.52169311569,NA
"64","0CO",2023-09-03 15:55:00,46.4,37.4,70.68,160,9,0,30.56,NA,10,22,"SCT",2023-09-03,"15:55","2023/09/03 15",8,4.33333333333333,NA,0,856.867524430881,NA
"65","0CO",2023-09-03 16:55:00,44.6,42.8,93.35,300,5,0,30.55,NA,10,NA,"BKN",2023-09-03,"16:55","2023/09/03 16",8,5,2.057776,0,856.587166423105,NA
"66","0CO",2023-09-03 17:55:00,42.8,41,93.3,270,13,0.12,30.55,NA,0.5,NA,"BKN",2023-09-03,"17:55","2023/09/03 17",6.33333333333333,5.66666666666667,3.77258933333333,12.192,856.493713753847,NA
"67","0CO",2023-09-03 18:55:00,46.4,37.4,70.68,270,9,0,30.53,NA,10,NA,"SCT",2023-09-03,"18:55","2023/09/03 18",7.33333333333333,3.33333333333333,5.48740266666667,0,856.119903076813,NA
"68","0CO",2023-09-03 19:55:00,44.6,37.4,75.68,290,12,0,30.53,NA,10,NA,"SCT",2023-09-03,"19:55","2023/09/03 19",6.66666666666667,3.66666666666667,5.83036533333333,0,855.839545069038,NA
"69","0CO",2023-09-03 20:55:00,42.8,35.6,75.5,300,14,0,30.53,NA,10,NA,"SCT",2023-09-03,"20:55","2023/09/03 20",6,2,6.173328,0,855.932997738296,NA
"70","0CO",2023-09-03 21:55:00,42.8,35.6,75.5,280,14,0,30.53,NA,10,NA,"SCT",2023-09-03,"21:55","2023/09/03 21",6,2.33333333333333,7.03073466666667,0,856.026450407555,NA
"71","0CO",2023-09-03 22:55:00,42.8,35.6,75.5,280,11,0,30.52,NA,10,15,"CLR",2023-09-03,"22:55","2023/09/03 22",6,2,5.658884,0,855.746092399779,NA
"72","0CO",2023-09-03 23:55:00,42.8,35.6,75.5,270,7,0,30.5,NA,10,NA,"CLR",2023-09-03,"23:55","2023/09/03 23",6,2,4.629996,0,855.278829053487,NA
"73","0CO",2023-09-04 00:55:00,42.8,33.8,70.28,280,16,0,30.48,NA,10,19,"CLR",2023-09-04,"00:55","2023/09/04 00",6,0.999999999999998,6.85925333333333,0,854.811565707195,NA
"74","0CO",2023-09-04 01:55:00,41,33.8,75.33,260,6,0,30.46,NA,10,NA,"CLR",2023-09-04,"01:55","2023/09/04 01",5.66666666666667,0.999999999999998,5.31592133333333,0,854.157397022385,NA
"75","0CO",2023-09-04 02:55:00,42.8,32,65.38,270,8,0,30.44,NA,10,14,"SCT",2023-09-04,"02:55","2023/09/04 02",5.33333333333333,0.666666666666666,3.601108,0,853.690133676093,NA
"76","0CO",2023-09-04 03:55:00,41,32,70.08,260,9,0,30.42,NA,10,19,"CLR",2023-09-04,"03:55","2023/09/04 03",5,0,3.94407066666667,0,853.129417660542,NA
"77","0CO",2023-09-04 04:55:00,41,32,70.08,260,18,0,30.39,NA,10,24,"CLR",2023-09-04,"04:55","2023/09/04 04",4.66666666666667,0,6.00184666666667,0,852.381796306474,NA
"78","0CO",2023-09-04 05:55:00,39.2,30.2,69.88,240,6,0,30.39,NA,10,20,"CLR",2023-09-04,"05:55","2023/09/04 05",4.33333333333333,-0.333333333333333,3.77258933333333,0,852.00798562944,NA
"79","0CO",2023-09-04 06:55:00,41,30.2,65.16,220,8,0,30.38,NA,10,NA,"CLR",2023-09-04,"06:55","2023/09/04 06",4.33333333333333,-1,4.45851466666667,0,851.727627621665,NA
"80","0CO",2023-09-04 07:55:00,41,30.2,65.16,210,8,0,30.38,NA,10,NA,"CLR",2023-09-04,"07:55","2023/09/04 07",5,-1,4.28703333333333,0,851.727627621665,NA
"81","0CO",2023-09-04 08:55:00,42.8,30.2,60.79,210,9,0,30.36,NA,10,18,"CLR",2023-09-04,"08:55","2023/09/04 08",5.33333333333333,-1,4.115552,0,851.260364275373,10.803324
"82","0CO",2023-09-04 09:55:00,44.6,30.2,56.74,250,8,0,30.36,NA,10,21,"SCT",2023-09-04,"09:55","2023/09/04 09",7,-1,4.80147733333333,0,851.166911606114,12.346656
"83","0CO",2023-09-04 10:55:00,44.6,30.2,56.74,250,23,0,30.34,NA,10,27,"SCT",2023-09-04,"10:55","2023/09/04 10",7,-1,7.71666,0,850.980006267597,13.889988
"84","0CO",2023-09-04 11:55:00,44.6,37.4,75.68,300,9,0,30.35,NA,10,NA,"SCT",2023-09-04,"11:55","2023/09/04 11",7,1.66666666666667,6.51629066666667,0,850.699648259822,NA
"85","0CO",2023-09-04 12:55:00,46.4,32,57,260,16,0,30.33,NA,10,27,"SCT",2023-09-04,"12:55","2023/09/04 12",7.33333333333333,1,8.231104,0,850.419290252046,13.889988
"86","0CO",2023-09-04 13:55:00,50,28.4,43.03,230,10,0,30.33,NA,10,26,"SCT",2023-09-04,"13:55","2023/09/04 13",9,-2,7.71666,0,850.23238491353,19.548872
"87","0CO",2023-09-04 14:55:00,44.6,33.8,65.61,300,17,0,30.32,NA,10,28,"SCT",2023-09-04,"14:55","2023/09/04 14",9,-3,10.1173986666667,0,850.045479575013,16.462208
"88","0CO",2023-09-04 15:55:00,39.2,33.8,80.79,320,12,0,30.33,NA,10,22,"SCT",2023-09-04,"15:55","2023/09/04 15",5.33333333333333,1.33333333333333,4.45851466666667,0,850.325837582788,NA
"89","0CO",2023-09-04 16:55:00,41,32,70.08,290,17,0,30.32,NA,10,28,"BKN",2023-09-04,"16:55","2023/09/04 16",4,0.666666666666666,7.202216,0,850.045479575013,14.404432
"90","0CO",2023-09-04 17:55:00,44.6,28.4,52.72,NA,NA,0,30.33,NA,10,NA,"SCT",2023-09-04,"17:55","2023/09/04 17",5.66666666666667,0.333333333333333,NA,0,850.325837582788,NA
"91","0CO",2023-09-04 18:55:00,41,30.2,65.16,290,21,0,30.34,NA,10,28,"SCT",2023-09-04,"18:55","2023/09/04 18",5.33333333333333,-1.66666666666667,11.6607306666667,0,850.419290252046,NA
"92","0CO",2023-09-04 19:55:00,35.6,32,86.59,290,21,0,30.33,NA,10,30,"SCT",2023-09-04,"19:55","2023/09/04 19",2.66666666666667,0,9.43147333333333,0,850.419290252046,15.43332
"93","0CO",2023-09-04 20:55:00,33.8,32,93.03,280,30,0,30.32,NA,5,37,"SCT",2023-09-04,"20:55","2023/09/04 20",1.33333333333333,0,13.2040626666667,0,850.138932244271,19.034428
"94","0CO",2023-09-04 21:55:00,33.8,32,93.03,300,28,0,30.33,NA,3,36,"SCT",2023-09-04,"21:55","2023/09/04 21",0.999999999999998,0,13.889988,0,850.325837582788,19.548872
"95","0CO",2023-09-04 22:55:00,33.8,32,93.03,300,28,0,30.31,NA,10,47,"SCT",2023-09-04,"22:55","2023/09/04 22",0.999999999999998,0,16.462208,0,849.765121567237,25.7222
"96","0CO",2023-09-04 23:55:00,32,32,100,320,27,0,30.32,NA,2,41,"SCT",2023-09-04,"23:55","2023/09/04 23",0,0,13.375544,0,850.045479575013,21.092204
"97","0CO",2023-09-05 00:55:00,32,32,100,320,28,0,30.33,NA,0.25,35,"OVC",2023-09-05,"00:55","2023/09/05 00",0,0,13.5470253333333,0,850.512742921305,18.519984
"98","0CO",2023-09-05 01:55:00,32,32,100,330,25,0,30.35,NA,0.25,33,"OVC",2023-09-05,"01:55","2023/09/05 01",0,0,13.0325813333333,0,850.699648259822,20.063316
"99","0CO",2023-09-05 02:55:00,32,32,100,310,23,0,30.36,NA,0.25,38,"OVC",2023-09-05,"02:55","2023/09/05 02",0,0,11.4892493333333,0,851.073458936856,19.548872
"100","0CO",2023-09-05 03:55:00,32,32,100,330,21,0,30.37,NA,0.25,29,"OVC",2023-09-05,"03:55","2023/09/05 03",0,0,11.317768,0,851.353816944631,16.976652
"101","0CO",2023-09-05 04:55:00,32,30.2,92.97,340,20,0,30.38,NA,0.25,34,"OVC",2023-09-05,"04:55","2023/09/05 04",0,-0.666666666666667,11.317768,0,851.540722283148,17.491096
"102","0CO",2023-09-05 05:55:00,30.2,30.2,100,310,23,0,30.38,NA,0.25,34,"OVC",2023-09-05,"05:55","2023/09/05 05",-0.333333333333333,-1,11.1462866666667,0,851.821080290924,17.491096
"103","0CO",2023-09-05 06:55:00,30.2,30.2,100,320,17,0,30.43,NA,0.25,27,"OVC",2023-09-05,"06:55","2023/09/05 06",-1,-1,9.43147333333333,0,852.66215431425,15.43332
"104","0CO",2023-09-05 07:55:00,30.2,30.2,100,310,19,0,30.45,NA,0.25,30,"OVC",2023-09-05,"07:55","2023/09/05 07",-1,-1,9.43147333333333,0,853.409775668317,15.43332
"105","0CO",2023-09-05 08:55:00,32,30.2,92.97,290,19,0,30.47,NA,10,27,"CLR",2023-09-05,"08:55","2023/09/05 08",0,-1,9.43147333333333,0,853.970491683868,13.889988
"106","0CO",2023-09-05 09:55:00,33.8,32,93.03,310,18,0.02,30.5,NA,1.75,29,"SCT",2023-09-05,"09:55","2023/09/05 09",0.999999999999998,-1,10.6318426666667,2.286,854.718113037936,16.462208
"107","0CO",2023-09-05 10:55:00,35.6,32,86.59,290,8,0,30.53,NA,10,16,"SCT",2023-09-05,"10:55","2023/09/05 10",1.66666666666667,0,4.97295866666667,0,855.746092399779,12.346656
"108","0CO",2023-09-05 11:55:00,37.4,32,80.65,300,9,0,30.55,NA,10,23,"SCT",2023-09-05,"11:55","2023/09/05 11",3.33333333333333,-0.333333333333333,4.629996,0,856.493713753847,11.832212
"109","0CO",2023-09-05 12:55:00,41,33.8,75.33,310,10,0,30.56,NA,10,15,"SCT",2023-09-05,"12:55","2023/09/05 12",4.33333333333333,-6.66133814775094e-16,4.80147733333333,0,856.680619092364,11.832212
"110","0CO",2023-09-05 13:55:00,42.8,32,65.38,300,8,0,30.58,NA,10,NA,"SCT",2023-09-05,"13:55","2023/09/05 13",5.33333333333333,-0.333333333333333,4.28703333333333,0,857.054429769398,NA
"111","0CO",2023-09-05 14:55:00,46.4,30.2,53,280,12,0,30.58,NA,10,24,"SCT",2023-09-05,"14:55","2023/09/05 14",7,-1,5.83036533333333,0,857.334787777173,12.346656
"112","0CO",2023-09-05 15:55:00,44.6,33.8,65.61,120,5,0,30.58,NA,10,NA,"SCT",2023-09-05,"15:55","2023/09/05 15",8,0.333333333333332,3.086664,0,857.334787777173,NA
"113","0CO",2023-09-05 16:55:00,42.8,33.8,70.28,NA,NA,0,30.58,NA,10,NA,"CLR",2023-09-05,"16:55","2023/09/05 16",6.66666666666667,1.66666666666667,NA,0,857.334787777173,NA
"114","0CO",2023-09-05 17:55:00,41,33.8,75.33,NA,NA,0,30.59,NA,10,NA,"CLR",2023-09-05,"17:55","2023/09/05 17",5.33333333333333,0.999999999999998,NA,0,857.615145784948,NA
"115","0CO",2023-09-05 18:55:00,37.4,33.8,86.69,140,16,0,30.6,NA,10,21,"CLR",2023-09-05,"18:55","2023/09/05 18",4.33333333333333,0.999999999999998,NA,0,857.708598454207,NA
"116","0CO",2023-09-05 19:55:00,35.6,33.8,93.08,140,16,0,30.62,NA,10,NA,"SCT",2023-09-05,"19:55","2023/09/05 19",2.66666666666667,0.999999999999998,7.54517866666667,0,858.175861800499,NA
"117","0CO",2023-09-05 20:55:00,35.6,33.8,93.08,170,13,0,30.63,NA,10,20,"CLR",2023-09-05,"20:55","2023/09/05 20",2,0.999999999999998,6.173328,0,858.643125146792,10.28888
"118","0CO",2023-09-05 21:55:00,35.6,33.8,93.08,170,16,0,30.63,NA,10,NA,"CLR",2023-09-05,"21:55","2023/09/05 21",2,0.999999999999998,7.202216,0,858.830030485309,NA
"119","0CO",2023-09-05 22:55:00,37.4,32,80.65,220,7,0,30.63,NA,10,NA,"CLR",2023-09-05,"22:55","2023/09/05 22",2.66666666666667,0.666666666666666,4.45851466666667,0,858.73657781605,NA
"120","0CO",2023-09-05 23:55:00,37.4,32,80.65,250,17,0,30.62,NA,10,NA,"CLR",2023-09-05,"23:55","2023/09/05 23",3,0,7.03073466666667,0,858.456219808275,NA
"121","0CO",2023-09-06 00:55:00,37.4,32,80.65,230,9,0,30.62,NA,10,18,"CLR",2023-09-06,"00:55","2023/09/06 00",3,0,4.115552,0,858.456219808275,NA
"122","0CO",2023-09-06 01:55:00,37.4,32,80.65,260,11,0,30.6,NA,10,17,"CLR",2023-09-06,"01:55","2023/09/06 01",3,0,5.14444,0,857.988956461983,10.28888
"123","0CO",2023-09-06 02:55:00,37.4,28.4,69.67,270,17,0,30.6,NA,10,28,"CLR",2023-09-06,"02:55","2023/09/06 02",3,-1.33333333333333,5.658884,0,857.895503792724,14.404432
"124","0CO",2023-09-06 03:55:00,37.4,26.6,64.7,280,22,0,30.59,NA,10,30,"CLR",2023-09-06,"03:55","2023/09/06 03",3,-2.66666666666667,11.1462866666667,0,857.52169311569,15.43332
"125","0CO",2023-09-06 04:55:00,37.4,24.8,60.04,270,17,0,30.58,NA,10,34,"CLR",2023-09-06,"04:55","2023/09/06 04",3.33333333333333,-4,9.43147333333333,0,857.428240446432,18.519984
"126","0CO",2023-09-06 05:55:00,37.4,24.8,60.04,290,21,0,30.58,NA,10,31,"CLR",2023-09-06,"05:55","2023/09/06 05",3,-4,10.6318426666667,0,857.334787777173,15.947764
"127","0CO",2023-09-06 06:55:00,37.4,23,55.68,290,23,0,30.59,NA,10,36,"CLR",2023-09-06,"06:55","2023/09/06 06",3,-4.33333333333333,11.4892493333333,0,857.428240446432,18.519984
"128","0CO",2023-09-06 07:55:00,39.2,23,51.89,280,23,0,30.6,NA,10,36,"CLR",2023-09-06,"07:55","2023/09/06 07",3.33333333333333,-5,11.832212,0,857.895503792724,18.519984
"129","0CO",2023-09-06 08:55:00,41,23,48.39,280,33,0,30.6,NA,10,47,"CLR",2023-09-06,"08:55","2023/09/06 08",4.66666666666667,-5,14.2329506666667,0,857.988956461983,24.178868
"130","0CO",2023-09-06 09:55:00,42.8,28.4,56.48,300,13,0,30.64,NA,10,23,"CLR",2023-09-06,"09:55","2023/09/06 09",5.33333333333333,-3,8.745548,0,858.923483154567,16.462208
"131","0CO",2023-09-06 10:55:00,44.6,23,42.14,280,25,0,30.65,NA,10,34,"CLR",2023-09-06,"10:55","2023/09/06 10",6.33333333333333,-3,8.05962266666667,0,859.390746500859,17.491096
"132","0CO",2023-09-06 11:55:00,48.2,24.8,39.66,280,19,0,30.66,NA,10,26,"CLR",2023-09-06,"11:55","2023/09/06 11",8,-4.66666666666667,10.28888,0,859.577651839376,18.00554
