"","X","station","valid","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","Date","Time","Hour","tmpc","dwpc","sms","p01mm","altmb","gustms","precip_type","undercatch","adj_precip","undercatch_loss","cum_undercatch_loss"
"35",1041,"0CO","2023-10-14 10:55:00",19.4,14,79.16,320,30,0,30.39,NA,10,39,"CLR","2023-10-14","10:55","2023/10/14 10",-7,-9.66666666666667,NA,0,852.101438298699,NA,"snow",NA,0,0,3.20321471676071
"36",1042,"0CO","2023-10-14 11:55:00",21.2,17.6,85.74,310,19,0,30.41,NA,10,NA,"CLR","2023-10-14","11:55","2023/10/14 11",-6.33333333333333,-9,11.6607306666667,0,852.568701644991,NA,"snow",0.052693149010816,0,0,3.20321471676071
"37",1043,"0CO","2023-10-14 12:55:00",23,21.2,92.69,330,26,0,30.41,NA,0.25,36,"OVC","2023-10-14","12:55","2023/10/14 12",-5.33333333333333,-6.66666666666667,12.346656,0,852.568701644991,18.519984,"snow",0.0386617407671562,0,0,3.20321471676071
"38",1044,"0CO","2023-10-14 13:55:00",24.8,23,92.74,340,23,0,30.43,NA,0.25,32,"OVC","2023-10-14","13:55","2023/10/14 13",-4.66666666666667,-5.33333333333333,12.5181373333333,0,852.942512322025,20.57776,"snow",0.0357080276347157,0,0,3.20321471676071
"39",1045,"0CO","2023-10-14 14:55:00",24.8,23,92.74,340,21,0,30.44,NA,0.25,34,"OVC","2023-10-14","14:55","2023/10/14 14",-4,-5,9.43147333333333,0,853.222870329801,18.519984,"snow",0.131287549454026,0,0,3.20321471676071
"40",1046,"0CO","2023-10-14 15:55:00",26.6,21.2,79.77,320,24,0,30.44,NA,0.25,34,"OVC","2023-10-14","15:55","2023/10/14 15",-3.66666666666667,-5.33333333333333,10.1173986666667,0,853.596681006835,21.092204,"snow",0.100682705507047,0,0,3.20321471676071
"41",1047,"0CO","2023-10-14 16:55:00",24.8,21.2,85.96,320,24,0,30.44,NA,0.25,35,"OVC","2023-10-14","16:55","2023/10/14 16",-3.66666666666667,-5.33333333333333,10.6318426666667,0,853.596681006834,18.00554,"snow",0.0817617390229175,0,0,3.20321471676071
"42",1048,"0CO","2023-10-14 17:55:00",23,19.4,85.85,320,22,0,30.46,NA,7,32,"SCT","2023-10-14","17:55","2023/10/14 17",-5,-6.66666666666667,12.1751746666667,0,853.87703901461,19.034428,"snow",0.041825319658652,0,0,3.20321471676071
"43",1049,"0CO","2023-10-14 18:55:00",23,21.2,92.69,340,25,0,30.47,NA,7,33,"CLR","2023-10-14","18:55","2023/10/14 18",-5,-6,12.0036933333333,0,854.157397022385,17.491096,"snow",0.04521038468293,0,0,3.20321471676071
"44",1050,"0CO","2023-10-14 19:55:00",23,19.4,85.85,320,28,0,30.47,NA,10,33,"CLR","2023-10-14","19:55","2023/10/14 19",-5,-6.66666666666667,13.0325813333333,0,854.250849691644,17.491096,"snow",0.0279953161887125,0,0,3.20321471676071
"45",1051,"0CO","2023-10-14 20:55:00",23,17.6,79.47,330,22,0.01,30.48,NA,10,35,"CLR","2023-10-14","20:55","2023/10/14 20",-5,-7.66666666666667,11.832212,0.762,854.531207699419,18.519984,"snow",0.0488288987773049,0.799207620868306,0.0372076208683063,3.24042233762902
"46",1052,"0CO","2023-10-14 21:55:00",23,19.4,85.85,320,22,0,30.5,NA,10,30,"CLR","2023-10-14","21:55","2023/10/14 21",-5,-7.33333333333333,11.4892493333333,0,854.998471045711,18.00554,"snow",0.0568157247367821,0,0,3.24042233762902
"47",1053,"0CO","2023-10-14 22:55:00",21.2,19.4,92.63,330,21,0,30.5,NA,0.25,29,"BKN","2023-10-14","22:55","2023/10/14 22",-5.33333333333333,-7,11.1462866666667,0,855.09192371497,15.43332,"snow",0.0658875649369108,0,0,3.24042233762902
"48",1054,"0CO","2023-10-14 23:55:00",21.2,21.2,100,330,24,0,30.5,NA,0.25,34,"OVC","2023-10-14","23:55","2023/10/14 23",-6,-6,11.6607306666667,0,855.09192371497,17.491096,"snow",0.052693149010816,0,0,3.24042233762902
"49",1055,"0CO","2023-10-15 00:55:00",21.2,19.4,92.63,330,20,0,30.51,NA,1.5,33,"BKN","2023-10-15","00:55","2023/10/15 00",-6,-7,10.803324,0,855.278829053487,16.976652,"snow",0.0761501158560344,0,0,3.24042233762902
"50",1056,"0CO","2023-10-15 01:55:00",21.2,17.6,85.74,320,26,0,30.51,NA,10,32,"CLR","2023-10-15","01:55","2023/10/15 01",-6,-7.33333333333333,12.6896186666667,0,855.278829053487,16.462208,"snow",0.0329529176683323,0,0,3.24042233762902
"51",1057,"0CO","2023-10-15 02:55:00",21.2,17.6,85.74,320,22,0,30.52,NA,10,31,"CLR","2023-10-15","02:55","2023/10/15 02",-5.66666666666667,-8,11.317768,0,855.652639730521,16.462208,"snow",0.0612094921327954,0,0,3.24042233762902
"52",1058,"0CO","2023-10-15 03:55:00",23,17.6,79.47,330,26,0,30.51,NA,10,37,"CLR","2023-10-15","03:55","2023/10/15 03",-5.66666666666667,-8,13.0325813333333,0,855.465734392004,20.57776,"snow",0.0279953161887125,0,0,3.24042233762902
"53",1059,"0CO","2023-10-15 04:55:00",23,17.6,79.47,330,24,0.01,30.53,NA,10,36,"CLR","2023-10-15","04:55","2023/10/15 04",-5,-8.66666666666667,12.346656,2.286,855.746092399779,18.519984,"snow",0.0386617407671562,2.37438073939372,0.088380739393719,3.32880307702273
"54",1060,"0CO","2023-10-15 05:55:00",21.2,17.6,85.74,340,22,0.01,30.56,NA,10,34,"CLR","2023-10-15","05:55","2023/10/15 05",-5.66666666666667,-8,12.0036933333333,1.524,856.493713753847,17.491096,"snow",0.04521038468293,1.59290062625679,0.0689006262567853,3.39770370327952
"55",1061,"0CO","2023-10-15 06:55:00",21.2,17.6,85.74,330,21,0.01,30.57,NA,10,30,"CLR","2023-10-15","06:55","2023/10/15 06",-6,-8,10.9748053333333,0.762,856.867524430881,15.43332,"snow",0.0708632711964771,0.815997812651716,0.0539978126517155,3.45170151593124
"56",1062,"0CO","2023-10-15 07:55:00",21.2,17.6,85.74,350,17,0.01,30.6,NA,10,30,"CLR","2023-10-15","07:55","2023/10/15 07",-6,-8,9.259992,2.286,857.428240446432,15.43332,"snow",0.139987249261078,2.60601085181082,0.320010851810824,3.77171236774206
"57",1063,"0CO","2023-10-15 08:55:00",23,19.4,85.85,340,18,0,30.61,NA,10,26,"CLR","2023-10-15","08:55","2023/10/15 08",-5.33333333333333,-7.66666666666667,8.05962266666667,0,858.082409131241,13.375544,"snow",0.213932743905524,0,0,3.77171236774206
"58",1064,"0CO","2023-10-15 09:55:00",24.8,19.4,79.62,340,8,0,30.65,NA,10,21,"CLR","2023-10-15","09:55","2023/10/15 09",-4.33333333333333,-7,4.97295866666667,0,858.923483154567,14.404432,"snow",0.515600067583626,0,0,3.77171236774206
"59",1065,"0CO","2023-10-15 10:55:00",26.6,19.4,73.89,320,12,0,30.65,NA,10,22,"CLR","2023-10-15","10:55","2023/10/15 10",-3.33333333333333,-7,5.658884,0,859.390746500859,11.832212,"snow",0.435831949814747,0,0,3.77171236774206
"60",1066,"0CO","2023-10-15 11:55:00",28.4,21.2,74.08,330,10,0,30.66,NA,10,14,"CLR","2023-10-15","11:55","2023/10/15 11",-2.33333333333333,-6.33333333333333,4.97295866666667,0,859.577651839376,10.803324,"snow",0.515600067583626,0,0,3.77171236774206
"61",1067,"0CO","2023-10-15 12:55:00",28.4,23,79.92,330,12,0,30.65,NA,10,18,"CLR","2023-10-15","12:55","2023/10/15 12",-2,-5,6.00184666666667,0,859.297293831601,10.28888,"snow",0.398290479633856,0,0,3.77171236774206
"62",1068,"0CO","2023-10-15 13:55:00",30.2,23,74.26,360,6,0,30.65,NA,10,17,"CLR","2023-10-15","13:55","2023/10/15 13",-1.33333333333333,-5,4.629996,0,859.297293831601,NA,"snow",0.557353311907428,0,0,3.77171236774206
"63",1069,"0CO","2023-10-15 14:55:00",30.2,23,74.26,310,13,0,30.64,NA,10,17,"CLR","2023-10-15","14:55","2023/10/15 14",-1,-5,4.629996,0,859.203841162342,NA,"snow",0.557353311907428,0,0,3.77171236774206
"64",1070,"0CO","2023-10-15 15:55:00",32,23,69.04,330,5,0,30.65,NA,10,NA,"CLR","2023-10-15","15:55","2023/10/15 15",-0.666666666666667,-5,3.086664,0,859.297293831601,NA,"snow",0.750122405497358,0,0,3.77171236774206
"65",1071,"0CO","2023-10-15 16:55:00",32,21.2,63.99,330,12,0.01,30.66,NA,10,22,"CLR","2023-10-15","16:55","2023/10/15 16",0,-6,4.629996,2.286,859.484199170118,11.317768,"mixed",0.7501942248,4.0009439978928,1.7149439978928,5.48665636563486
"66",1072,"0CO","2023-10-15 17:55:00",30.2,21.2,68.83,310,9,0.03,30.67,NA,10,14,"CLR","2023-10-15","17:55","2023/10/15 17",-1,-6,3.42962666666667,3.81,859.671104508635,NA,"snow",0.707700776191715,6.50633995729043,2.69633995729043,8.18299632292529
"67",1073,"0CO","2023-10-15 18:55:00",28.4,21.2,74.08,310,8,0,30.68,NA,10,NA,"CLR","2023-10-15","18:55","2023/10/15 18",-1.33333333333333,-6,5.14444,0,860.044915185669,NA,"snow",0.495140773875742,0,0,8.18299632292529
"68",1074,"0CO","2023-10-15 19:55:00",28.4,21.2,74.08,310,10,0,30.68,NA,10,21,"CLR","2023-10-15","19:55","2023/10/15 19",-2,-6,5.31592133333333,0,860.138367854927,NA,"snow",0.475006132320434,0,0,8.18299632292529
"69",1075,"0CO","2023-10-15 20:55:00",28.4,21.2,74.08,320,9,0,30.68,NA,10,21,"CLR","2023-10-15","20:55","2023/10/15 20",-2,-6,5.14444,0,860.138367854927,NA,"snow",0.495140773875742,0,0,8.18299632292529
"70",1076,"0CO","2023-10-15 21:55:00",28.4,21.2,74.08,340,17,0,30.68,NA,10,21,"CLR","2023-10-15","21:55","2023/10/15 21",-2,-6,8.231104,0,860.138367854927,10.803324,"snow",0.201902718107887,0,0,8.18299632292529
"71",1077,"0CO","2023-10-15 22:55:00",28.4,21.2,74.08,330,16,0,30.66,NA,10,NA,"CLR","2023-10-15","22:55","2023/10/15 22",-2,-6,7.202216,0,859.764557177893,NA,"snow",0.28179936931683,0,0,8.18299632292529
"72",1078,"0CO","2023-10-15 23:55:00",30.2,19.4,63.75,330,20,0,30.66,NA,10,29,"CLR","2023-10-15","23:55","2023/10/15 23",-1.66666666666667,-7,9.94591733333333,0,859.671104508635,14.918876,"snow",0.107730832586429,0,0,8.18299632292529
"73",1079,"0CO","2023-10-16 00:55:00",28.4,19.4,68.61,340,19,0,30.66,NA,10,31,"CLR","2023-10-16","00:55","2023/10/16 00",-2,-7,10.6318426666667,0,859.577651839376,15.947764,"snow",0.0817617390229175,0,0,8.18299632292529
"74",1080,"0CO","2023-10-16 01:55:00",28.4,19.4,68.61,340,19,0,30.68,NA,10,NA,"CLR","2023-10-16","01:55","2023/10/16 01",-2,-7,10.1173986666667,0,859.858009847152,NA,"snow",0.100682705507047,0,0,8.18299632292529
"75",1081,"0CO","2023-10-16 02:55:00",30.2,17.6,59.01,330,19,0,30.67,NA,10,26,"CLR","2023-10-16","02:55","2023/10/16 02",-1.66666666666667,-7.33333333333333,9.259992,0,859.95146251641,NA,"snow",0.139987249261078,0,0,8.18299632292529
"76",1082,"0CO","2023-10-16 03:55:00",28.4,19.4,68.61,340,19,0,30.66,NA,10,23,"CLR","2023-10-16","03:55","2023/10/16 03",-2,-7.33333333333333,9.259992,0,859.764557177893,11.832212,"snow",0.139987249261078,0,0,8.18299632292529
"77",1083,"0CO","2023-10-16 04:55:00",28.4,15.8,58.75,330,13,0,30.66,NA,10,20,"CLR","2023-10-16","04:55","2023/10/16 04",-2,-8.33333333333333,7.71666,0,859.577651839376,11.317768,"snow",0.23952537330134,0,0,8.18299632292529
"78",1084,"0CO","2023-10-16 05:55:00",30.2,17.6,59.01,340,17,0,30.67,NA,10,20,"CLR","2023-10-16","05:55","2023/10/16 05",-1,-9,8.40258533333333,0,859.858009847152,NA,"snow",0.190375576566233,0,0,8.18299632292529
"79",1085,"0CO","2023-10-16 06:55:00",30.2,17.6,59.01,330,17,0,30.66,NA,10,22,"CLR","2023-10-16","06:55","2023/10/16 06",-1,-7.33333333333333,8.91702933333333,0,859.671104508635,NA,"snow",0.158731638881129,0,0,8.18299632292529
"80",1086,"0CO","2023-10-16 07:55:00",32,17.6,54.87,330,18,0,30.66,NA,10,23,"CLR","2023-10-16","07:55","2023/10/16 07",-0.666666666666667,-8,9.60295466666667,0,859.577651839376,13.889988,"snow",0.123020081994591,0,0,8.18299632292529
"81",1087,"0CO","2023-10-16 08:55:00",32,19.4,59.27,320,11,0,30.68,NA,10,20,"CLR","2023-10-16","08:55","2023/10/16 08",0,-7,6.687772,0,860.044915185669,13.375544,"mixed",0.6345472136,0,0,8.18299632292529
"82",1088,"0CO","2023-10-16 09:55:00",32,19.4,59.27,310,13,0,30.69,NA,10,NA,"CLR","2023-10-16","09:55","2023/10/16 09",0,-7,6.85925333333333,0,860.418725862702,NA,"mixed",0.624909962666667,0,0,8.18299632292529
"83",1089,"0CO","2023-10-16 10:55:00",35.6,21.2,55.41,310,14,0,30.68,NA,10,19,"CLR","2023-10-16","10:55","2023/10/16 10",1.33333333333333,-6,7.03073466666667,0,860.325273193444,NA,"mixed",0.615272711733333,0,0,8.18299632292529
"84",1090,"0CO","2023-10-16 11:55:00",35.6,23,59.79,310,12,0,30.68,NA,10,19,"CLR","2023-10-16","11:55","2023/10/16 11",2,-5,6.85925333333333,0,860.138367854927,10.28888,"mixed",0.624909962666667,0,0,8.18299632292529
"85",1091,"0CO","2023-10-16 12:55:00",35.6,24.8,64.46,320,10,0,30.66,NA,10,22,"CLR","2023-10-16","12:55","2023/10/16 12",2,-4.66666666666667,6.51629066666667,0,859.764557177893,NA,"mixed",0.644184464533333,0,0,8.18299632292529
"86",1092,"0CO","2023-10-16 13:55:00",37.4,24.8,60.04,310,12,0,30.65,NA,10,21,"CLR","2023-10-16","13:55","2023/10/16 13",3,-3.33333333333333,5.31592133333333,0,859.390746500859,12.346656,"mixed",0.711645221066667,0,0,8.18299632292529
"87",1093,"0CO","2023-10-16 14:55:00",37.4,24.8,60.04,320,10,0,30.64,NA,10,24,"CLR","2023-10-16","14:55","2023/10/16 14",3,-3.66666666666667,6.687772,0,858.923483154567,13.375544,"mixed",0.6345472136,0,0,8.18299632292529
"88",1094,"0CO","2023-10-16 15:55:00",39.2,23,51.89,310,10,0,30.63,NA,10,24,"CLR","2023-10-16","15:55","2023/10/16 15",3.33333333333333,-5,6.00184666666667,0,858.923483154567,12.8611,"rain",6.00184666666667,0,0,8.18299632292529
"89",1095,"0CO","2023-10-16 16:55:00",37.4,23,55.68,320,12,0,30.63,NA,10,19,"CLR","2023-10-16","16:55","2023/10/16 16",3.33333333333333,-5,6.34480933333333,0,858.73657781605,12.8611,"rain",6.34480933333333,0,0,8.18299632292529
"90",1096,"0CO","2023-10-16 17:55:00",35.6,23,59.79,310,10,0,30.63,NA,10,20,"CLR","2023-10-16","17:55","2023/10/16 17",2.66666666666667,-5,6.00184666666667,0,858.73657781605,10.28888,"mixed",0.673096217333333,0,0,8.18299632292529
"91",1097,"0CO","2023-10-16 18:55:00",35.6,23,59.79,320,11,0,30.62,NA,10,18,"CLR","2023-10-16","18:55","2023/10/16 18",2,-5,5.48740266666667,0,858.549672477533,10.28888,"mixed",0.702007970133333,0,0,8.18299632292529
"92",1098,"0CO","2023-10-16 19:55:00",35.6,23,59.79,280,12,0,30.62,NA,10,NA,"CLR","2023-10-16","19:55","2023/10/16 19",2,-5,6.51629066666667,0,858.456219808275,NA,"mixed",0.644184464533333,0,0,8.18299632292529
"93",1099,"0CO","2023-10-16 20:55:00",35.6,23,59.79,300,17,0,30.6,NA,10,23,"CLR","2023-10-16","20:55","2023/10/16 20",2,-5,8.231104,0,858.175861800499,11.832212,"mixed",0.5478119552,0,0,8.18299632292529
"94",1100,"0CO","2023-10-16 21:55:00",35.6,21.2,55.41,320,12,0,30.61,NA,10,20,"CLR","2023-10-16","21:55","2023/10/16 21",2,-6,7.88814133333333,0,858.175861800499,NA,"mixed",0.567086457066667,0,0,8.18299632292529
"95",1101,"0CO","2023-10-16 22:55:00",35.6,23,59.79,320,13,0,30.6,NA,10,20,"CLR","2023-10-16","22:55","2023/10/16 22",1.33333333333333,-5.66666666666667,6.51629066666667,0,857.895503792724,10.28888,"mixed",0.644184464533333,0,0,8.18299632292529
"96",1102,"0CO","2023-10-16 23:55:00",33.8,21.2,59.53,310,13,0,30.6,NA,10,19,"CLR","2023-10-16","23:55","2023/10/16 23",1.33333333333333,-6,6.34480933333333,0,857.895503792724,10.803324,"mixed",0.653821715466667,0,0,8.18299632292529
"97",1103,"0CO","2023-10-17 00:55:00",33.8,23,64.23,300,17,0,30.57,NA,10,21,"CLR","2023-10-17","00:55","2023/10/17 00",1.33333333333333,-5,7.37369733333333,0,857.241335107915,11.317768,"mixed",0.595998209866667,0,0,8.18299632292529
"98",1104,"0CO","2023-10-17 01:55:00",35.6,23,59.79,300,20,0,30.55,NA,10,NA,"CLR","2023-10-17","01:55","2023/10/17 01",1.66666666666667,-5,9.60295466666667,0,856.587166423105,NA,"mixed",0.470713947733333,0,0,8.18299632292529
"99",1105,"0CO","2023-10-17 02:55:00",35.6,21.2,55.41,300,18,0,30.55,NA,10,27,"CLR","2023-10-17","02:55","2023/10/17 02",2,-5.66666666666667,9.774436,0,856.493713753847,NA,"mixed",0.4610766968,0,0,8.18299632292529
"100",1106,"0CO","2023-10-17 03:55:00",33.8,21.2,59.53,300,16,0,30.53,NA,10,22,"CLR","2023-10-17","03:55","2023/10/17 03",1.66666666666667,-6,8.57406666666667,0,856.026450407555,13.375544,"mixed",0.528537453333333,0,0,8.18299632292529
"101",1107,"0CO","2023-10-17 04:55:00",33.8,19.4,55.14,300,21,0,30.51,NA,10,NA,"CLR","2023-10-17","04:55","2023/10/17 04",0.999999999999998,-7,10.6318426666667,0,855.559187061262,NA,"mixed",0.412890442133331,0,0,8.18299632292529
"102",1108,"0CO","2023-10-17 05:55:00",33.8,19.4,55.14,310,22,0,30.5,NA,10,30,"CLR","2023-10-17","05:55","2023/10/17 05",0.999999999999998,-7,10.28888,0,855.278829053487,15.43332,"mixed",0.432164944,0,0,8.18299632292529
"103",1109,"0CO","2023-10-17 06:55:00",33.8,19.4,55.14,NA,NA,0,30.49,NA,10,NA,"CLR","2023-10-17","06:55","2023/10/17 06",0.666666666666666,-7,NA,0,854.998471045711,NA,"mixed",NA,0,0,8.18299632292529
