,station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,Date,Time,Hour,tmpc,dwpc,sms,p01mm,fresh_SWE_m,fresh_density,fresh_depth,old_swe_m,old_density,old_depth,swe f+o,depth f+o,density f+o,altmb,gustms,precip_type,undercatch,adj_precip,undercatch_loss,cum_undercatch_loss
15,0CO,9/1/2023 14:55,55.4,28.4,35.28,150,14,0,30.7,NA,10,NA,SCT,9/1/2023,14:55,2023/09/01 14,13.33333333,-1.666666667,6.344809333,0,0,0,0,0,0,0,0,0,0,860.8859892,NA,snow,0.557353312,0,0,3.203214717
16,0CO,9/1/2023 15:55,53.6,28.4,37.67,NA,NA,0,30.7,NA,10,NA,SCT,9/1/2023,15:55,2023/09/01 15,12.33333333,-2,NA,0,0,0,0,0,0,0,0,0,0,860.7925365,NA,snow,0.621466224,0,0,3.203214717
17,0CO,9/1/2023 16:55,57.2,26.6,30.69,170,15,0,30.69,NA,10,28,SCT,9/1/2023,16:55,2023/09/01 16,13.33333333,-2.333333333,6.516290667,0,0,0,0,0,0,0,0,0,0,860.6056312,NA,snow,0.599956368,0,0,3.203214717
18,0CO,9/1/2023 17:55,55.4,26.6,32.76,170,17,0,30.69,NA,10,36,CLR,9/1/2023,17:55,2023/09/01 17,13,-3.333333333,9.945917333,0,0,0,0,0,0,0,0,0,0,860.2318205,18.519984,snow,NA,0,0,3.203214717
19,0CO,9/1/2023 18:55,53.6,28.4,37.67,170,12,0,30.68,NA,10,29,BKN,9/1/2023,18:55,2023/09/01 18,12,-2.666666667,8.574066667,0,0,0,0,0,0,0,0,0,0,860.2318205,16.462208,snow,0.578569901,0,0,3.203214717
20,0CO,9/1/2023 19:55,51.8,30.2,43.32,0,0,0,30.7,NA,10,NA,SCT,9/1/2023,19:55,2023/09/01 19,10.66666667,-1.333333333,3.944070667,0,0,0,0,0,0,0,0,0,0,860.6056312,NA,snow,0.557353312,0,0,3.203214717
21,0CO,9/1/2023 20:55,51.8,30.2,43.32,170,13,0,30.72,NA,10,17,BKN,9/1/2023,20:55,2023/09/01 20,11,-0.666666667,3.086664,0,0,0,0,0,0,0,0,0,0,861.0728945,NA,snow,NA,0,0,3.203214717
22,0CO,9/1/2023 21:55,50,32,49.81,10,5,0,30.72,NA,10,NA,SCT,9/1/2023,21:55,2023/09/01 21,10.66666667,-1,2.400738667,0,0,0,0,0,0,0,0,0,0,861.1663472,NA,snow,NA,0,0,3.203214717
23,0CO,9/1/2023 22:55,46.4,32,57,360,6,0,30.72,NA,10,NA,CLR,9/1/2023,22:55,2023/09/01 22,8.333333333,0,3.086664,0,0,0,0,0,0,0,0,0,0,861.2597999,NA,snow,NA,0,0,3.203214717
24,0CO,9/1/2023 23:55,50,30.2,46.31,0,0,0,30.73,NA,10,NA,SCT,9/1/2023,23:55,2023/09/01 23,9.666666667,-0.666666667,1.028888,0,0,0,0,0,0,0,0,0,0,861.3532526,NA,snow,NA,NA,NA,3.203214717
25,0CO,9/2/2023 0:55,50,30.2,46.31,220,3,0,30.72,NA,10,NA,CLR,9/2/2023,0:55,2023/09/02 00,10,-1,1.028888,0,0,0,0,0,0,0,0,0,0,861.4467052,NA,snow,0.312576634,0,0,3.203214717
26,0CO,9/2/2023 1:55,50,30.2,46.31,230,3,0,30.72,NA,10,NA,CLR,9/2/2023,1:55,2023/09/02 01,10,-1,3.601108,0,0,0,0,0,0,0,0,0,0,861.3532526,NA,snow,0.328733967,0,0,3.203214717
27,0CO,9/2/2023 2:55,48.2,30.2,49.53,240,11,0,30.72,NA,10,15,CLR,9/2/2023,2:55,2023/09/02 02,9.666666667,-1,3.086664,0,0,0,0,0,0,0,0,0,0,861.3532526,NA,snow,0.139987249,0,0,3.203214717
28,0CO,9/2/2023 3:55,46.4,30.2,53,250,12,0,30.73,NA,10,15,CLR,9/2/2023,3:55,2023/09/02 03,8.333333333,-1,6.516290667,0,0,0,0,0,0,0,0,0,0,861.4467052,NA,snow,NA,0,0,3.203214717
29,0CO,9/2/2023 4:55,48.2,28.4,46.02,220,7,0,30.73,NA,10,NA,CLR,9/2/2023,4:55,2023/09/02 04,8.666666667,-1.666666667,5.14444,0,0,0,0,0,0,0,0,0,0,861.5401579,NA,snow,NA,0,0,3.203214717
30,0CO,9/2/2023 5:55,46.4,28.4,49.24,250,12,0,30.72,NA,10,15,CLR,9/2/2023,5:55,2023/09/02 05,8,-2,5.658884,0,0,0,0,0,0,0,0,0,0,861.4467052,NA,snow,NA,0,0,3.203214717
31,0CO,9/2/2023 6:55,44.6,26.6,48.96,240,8,0,30.74,NA,10,NA,CLR,9/2/2023,6:55,2023/09/02 06,7.333333333,-2.666666667,4.458514667,0,0,0,0,0,0,0,0,0,0,861.6336106,NA,snow,NA,0,0,3.203214717
32,0CO,9/2/2023 7:55,46.4,28.4,49.24,250,8,0,30.74,NA,10,NA,CLR,9/2/2023,7:55,2023/09/02 07,8,-2.333333333,4.115552,0,0,0,0,0,0,0,0,0,0,861.8205159,NA,snow,NA,0,0,3.203214717
33,0CO,9/2/2023 8:55,48.2,28.4,46.02,260,10,0,30.75,NA,10,20,CLR,9/2/2023,8:55,2023/09/02 08,8.666666667,-2.333333333,5.315921333,0,0,0,0,0,0,0,0,0,0,862.1008739,NA,snow,NA,0,0,3.203214717
34,0CO,9/2/2023 9:55,42.8,33.8,70.28,330,8,0,30.77,NA,10,NA,CLR,9/2/2023,9:55,2023/09/02 09,7.666666667,-0.333333333,4.629996,0,0,0,0,0,0,0,0,0,0,862.3812319,NA,snow,0.04182532,0,0,3.203214717
35,0CO,9/2/2023 10:55,44.6,35.6,70.48,320,8,0,30.77,NA,10,NA,CLR,9/2/2023,10:55,2023/09/02 10,7.333333333,2,3.429626667,0,0,0,0,0,0,0,0,0,0,862.6615899,NA,snow,NA,0,0,3.203214717
36,0CO,9/2/2023 11:55,48.2,35.6,61.52,0,0,0,30.77,NA,10,NA,CLR,9/2/2023,11:55,2023/09/02 11,8.333333333,2,2.400738667,0,0,0,0,0,0,0,0,0,0,862.7550426,NA,snow,0.052693149,0,0,3.203214717
37,0CO,9/2/2023 12:55,51.8,37.4,57.77,320,3,0,30.77,NA,10,NA,SCT,9/2/2023,12:55,2023/09/02 12,10,2.666666667,2.57222,0,0,0,0,0,0,0,0,0,0,862.6615899,NA,snow,0.038661741,0,0,3.203214717
38,0CO,9/2/2023 13:55,51.8,37.4,57.77,350,7,0,30.77,NA,10,NA,SCT,9/2/2023,13:55,2023/09/02 13,11,2.333333333,3.258145333,0,0,0,0,0,0,0,0,0,0,862.6615899,NA,snow,0.035708028,0,0,3.203214717
39,0CO,9/2/2023 14:55,51.8,39.2,61.99,340,7,0,30.75,NA,10,NA,SCT,9/2/2023,14:55,2023/09/02 14,11.33333333,3,2.743701333,0,0,0,0,0,0,0,0,0,0,862.4746846,NA,snow,0.131287549,0,0,3.203214717
40,0CO,9/2/2023 15:55,50,41,71.07,340,3,0,30.75,NA,10,NA,SCT,9/2/2023,15:55,2023/09/02 15,10.33333333,4,2.57222,0,0,0,0,0,0,0,0,0,0,862.1008739,NA,snow,0.100682706,0,0,3.203214717
41,0CO,9/2/2023 16:55,50,39.2,66.27,340,6,0,30.75,NA,10,NA,SCT,9/2/2023,16:55,2023/09/02 16,10,5,2.743701333,0,0,0,0,0,0,0,0,0,0,862.1008739,NA,snow,0.081761739,0,0,3.203214717
42,0CO,9/2/2023 17:55,50,39.2,66.27,300,5,0,30.74,NA,10,NA,SCT,9/2/2023,17:55,2023/09/02 17,10.33333333,4.333333333,2.400738667,0,0,0,0,0,0,0,0,0,0,861.9139686,NA,snow,0.04182532,0,0,3.203214717
43,0CO,9/2/2023 18:55,46.4,37.4,70.68,0,0,0,30.74,NA,10,NA,BKN,9/2/2023,18:55,2023/09/02 18,8.666666667,3,1.371850667,0,0,0,0,0,0,0,0,0,0,861.8205159,NA,snow,0.045210385,0,0,3.203214717
44,0CO,9/2/2023 19:55,44.6,33.8,65.61,260,8,0.02,30.74,NA,10,NA,SCT,9/2/2023,19:55,2023/09/02 19,6.333333333,2,4.287033333,4.572,0.004572,0,0,0,0,0,0,0,0,861.8205159,NA,snow,0.027995316,0,0,3.203214717
45,0CO,9/2/2023 20:55,44.6,35.6,70.48,130,4,0,30.77,NA,10,NA,SCT,9/2/2023,20:55,2023/09/02 20,7,1.666666667,3.258145333,0,0,0,0,0,0,0,0,0,0,862.3812319,NA,snow,0.048828899,0.799207621,0.037207621,3.240422338
46,0CO,9/2/2023 21:55,44.6,35.6,70.48,280,12,0,30.77,NA,10,NA,OVC,9/2/2023,21:55,2023/09/02 21,7.666666667,2,5.487402667,0,0,0,0,0,0,0,0,0,0,862.6615899,NA,snow,0.056815725,0,0,3.240422338
47,0CO,9/2/2023 22:55,44.6,35.6,70.48,310,10,0,30.76,NA,10,NA,CLR,9/2/2023,22:55,2023/09/02 22,7,2,4.287033333,0,0,0,0,0,0,0,0,0,0,862.5681373,NA,snow,0.065887565,0,0,3.240422338
48,0CO,9/2/2023 23:55,44.6,35.6,70.48,300,10,0,30.75,NA,10,14,SCT,9/2/2023,23:55,2023/09/02 23,7,2,3.944070667,0,0,0,0,0,0,0,0,0,0,862.1008739,NA,snow,0.052693149,0,0,3.240422338
49,0CO,9/3/2023 0:55,42.8,35.6,75.5,290,9,0,30.74,NA,10,NA,BKN,9/3/2023,0:55,2023/09/03 00,6.666666667,2,4.115552,0,0,0,0,0,0,0,0,0,0,862.0074212,NA,snow,0.076150116,0,0,3.240422338
50,0CO,9/3/2023 1:55,42.8,37.4,81.07,300,9,0,30.73,NA,10,NA,BKN,9/3/2023,1:55,2023/09/03 01,6.333333333,2.666666667,5.315921333,0,0,0,0,0,0,0,0,0,0,861.7270632,NA,snow,0.032952918,0,0,3.240422338
51,0CO,9/3/2023 2:55,44.6,35.6,70.48,270,10,0,30.72,NA,10,NA,SCT,9/3/2023,2:55,2023/09/03 02,6.666666667,2.333333333,4.801477333,0,0,0,0,0,0,0,0,0,0,861.3532526,NA,snow,0.061209492,0,0,3.240422338
52,0CO,9/3/2023 3:55,42.8,35.6,75.5,270,11,0,30.71,NA,10,NA,SCT,9/3/2023,3:55,2023/09/03 03,6.333333333,2,5.14444,0,0,0,0,0,0,0,0,0,0,861.1663472,NA,snow,0.027995316,0,0,3.240422338
53,0CO,9/3/2023 4:55,42.8,35.6,75.5,290,11,0,30.71,NA,10,NA,OVC,9/3/2023,4:55,2023/09/03 04,6,2,5.658884,0,0,0,0,0,0,0,0,0,0,860.9794419,NA,snow,0.038661741,2.374380739,0.088380739,3.328803077
54,0CO,9/3/2023 5:55,42.8,35.6,75.5,290,8,0,30.71,NA,10,16,CLR,9/3/2023,5:55,2023/09/03 05,6,1.666666667,5.830365333,0,0,0,0,0,0,0,0,0,0,860.9794419,NA,snow,0.045210385,1.592900626,0.068900626,3.397703703
55,0CO,9/3/2023 6:55,42.8,35.6,75.5,0,0,0,30.71,NA,10,NA,SCT,9/3/2023,6:55,2023/09/03 06,6,2,3.601108,0,0,0,0,0,0,0,0,0,0,860.9794419,NA,snow,0.070863271,0.815997813,0.053997813,3.451701516
56,0CO,9/3/2023 7:55,44.6,35.6,70.48,0,0,0,30.71,NA,10,NA,SCT,9/3/2023,7:55,2023/09/03 07,7,1.666666667,2.743701333,0,0,0,0,0,0,0,0,0,0,860.9794419,NA,snow,0.139987249,2.606010852,0.320010852,3.771712368
57,0CO,9/3/2023 8:55,46.4,33.8,61.28,260,7,0,30.7,NA,10,NA,CLR,9/3/2023,8:55,2023/09/03 08,7.666666667,1.333333333,2.915182667,0,0,0,0,0,0,0,0,0,0,860.7925365,NA,snow,0.213932744,0,0,3.771712368
58,0CO,9/3/2023 9:55,50,35.6,57.52,220,7,0,30.7,NA,10,NA,SCT,9/3/2023,9:55,2023/09/03 09,9.666666667,2,3.772589333,0,0,0,0,0,0,0,0,0,0,860.6990839,NA,snow,0.515600068,0,0,3.771712368
59,0CO,9/3/2023 10:55,51.8,35.6,53.81,150,11,0,30.68,NA,10,23,SCT,9/3/2023,10:55,2023/09/03 10,10.33333333,2,4.287033333,0,0,0,0,0,0,0,0,0,0,860.3252732,11.832212,snow,0.43583195,0,0,3.771712368
60,0CO,9/3/2023 11:55,48.2,33.8,57.26,230,8,0,30.66,NA,10,23,BKN,9/3/2023,11:55,2023/09/03 11,10.66666667,1.666666667,4.458514667,0,0,0,0,0,0,0,0,0,0,859.8580098,NA,snow,0.515600068,0,0,3.771712368
61,0CO,9/3/2023 12:55,44.6,39.2,81.2,210,6,0.01,30.63,NA,10,16,SCT,9/3/2023,12:55,2023/09/03 12,9,3,3.772589333,0.762,0.000762,0,0,0,0,0,0,0,0,859.1103885,11.317768,snow,0.39829048,0,0,3.771712368
62,0CO,9/3/2023 13:55,44.6,33.8,65.61,170,30,0,30.62,NA,5,39,SCT,9/3/2023,13:55,2023/09/03 13,9.333333333,2.666666667,8.059622667,0,0,0,0,0,0,0,0,0,0,858.5496725,NA,snow,0.557353312,0,0,3.771712368
63,0CO,9/3/2023 14:55,51.8,37.4,57.77,NA,NA,0,30.57,NA,10,NA,SCT,9/3/2023,14:55,2023/09/03 14,10.33333333,3.333333333,NA,0,0,0,0,0,0,0,0,0,0,857.5216931,NA,snow,0.557353312,0,0,3.771712368
64,0CO,9/3/2023 15:55,46.4,37.4,70.68,160,9,0,30.56,NA,10,22,SCT,9/3/2023,15:55,2023/09/03 15,8,4.333333333,NA,0,0,0,0,0,0,0,0,0,0,856.8675244,NA,snow,0.750122405,0,0,3.771712368
65,0CO,9/3/2023 16:55,44.6,42.8,93.35,300,5,0,30.55,NA,10,NA,BKN,9/3/2023,16:55,2023/09/03 16,8,5,2.057776,0,0,0,0,0,0,0,0,0,0,856.5871664,NA,mixed,0.750194225,4.000943998,1.714943998,5.486656366
66,0CO,9/3/2023 17:55,42.8,41,93.3,270,13,0.12,30.55,NA,0.5,NA,BKN,9/3/2023,17:55,2023/09/03 17,6.333333333,5.666666667,3.772589333,12.192,0.012192,0,0,0,0,0,0,0,0,856.4937138,NA,snow,0.707700776,6.506339957,2.696339957,8.182996323
67,0CO,9/3/2023 18:55,46.4,37.4,70.68,270,9,0,30.53,NA,10,NA,SCT,9/3/2023,18:55,2023/09/03 18,7.333333333,3.333333333,5.487402667,0,0,0,0,0,0,0,0,0,0,856.1199031,NA,snow,0.495140774,0,0,8.182996323
68,0CO,9/3/2023 19:55,44.6,37.4,75.68,290,12,0,30.53,NA,10,NA,SCT,9/3/2023,19:55,2023/09/03 19,6.666666667,3.666666667,5.830365333,0,0,0,0,0,0,0,0,0,0,855.8395451,NA,snow,0.475006132,0,0,8.182996323
69,0CO,9/3/2023 20:55,42.8,35.6,75.5,300,14,0,30.53,NA,10,NA,SCT,9/3/2023,20:55,2023/09/03 20,6,2,6.173328,0,0,0,0,0,0,0,0,0,0,855.9329977,NA,snow,0.495140774,0,0,8.182996323
70,0CO,9/3/2023 21:55,42.8,35.6,75.5,280,14,0,30.53,NA,10,NA,SCT,9/3/2023,21:55,2023/09/03 21,6,2.333333333,7.030734667,0,0,0,0,0,0,0,0,0,0,856.0264504,NA,snow,0.201902718,0,0,8.182996323
71,0CO,9/3/2023 22:55,42.8,35.6,75.5,280,11,0,30.52,NA,10,15,CLR,9/3/2023,22:55,2023/09/03 22,6,2,5.658884,0,0,0,0,0,0,0,0,0,0,855.7460924,NA,snow,0.281799369,0,0,8.182996323
72,0CO,9/3/2023 23:55,42.8,35.6,75.5,270,7,0,30.5,NA,10,NA,CLR,9/3/2023,23:55,2023/09/03 23,6,2,4.629996,0,0,0,0,0,0,0,0,0,0,855.2788291,NA,snow,0.107730833,0,0,8.182996323
73,0CO,9/4/2023 0:55,42.8,33.8,70.28,280,16,0,30.48,NA,10,19,CLR,9/4/2023,0:55,2023/09/04 00,6,1,6.859253333,0,0,0,0,0,0,0,0,0,0,854.8115657,NA,snow,0.081761739,0,0,8.182996323
74,0CO,9/4/2023 1:55,41,33.8,75.33,260,6,0,30.46,NA,10,NA,CLR,9/4/2023,1:55,2023/09/04 01,5.666666667,1,5.315921333,0,0,0,0,0,0,0,0,0,0,854.157397,NA,snow,0.100682706,0,0,8.182996323
75,0CO,9/4/2023 2:55,42.8,32,65.38,270,8,0,30.44,NA,10,14,SCT,9/4/2023,2:55,2023/09/04 02,5.333333333,0.666666667,3.601108,0,0,0,0,0,0,0,0,0,0,853.6901337,NA,snow,0.139987249,0,0,8.182996323
76,0CO,9/4/2023 3:55,41,32,70.08,260,9,0,30.42,NA,10,19,CLR,9/4/2023,3:55,2023/09/04 03,5,0,3.944070667,0,0,0,0,0,0,0,0,0,0,853.1294177,NA,snow,0.139987249,0,0,8.182996323
77,0CO,9/4/2023 4:55,41,32,70.08,260,18,0,30.39,NA,10,24,CLR,9/4/2023,4:55,2023/09/04 04,4.666666667,0,6.001846667,0,0,0,0,0,0,0,0,0,0,852.3817963,NA,snow,0.239525373,0,0,8.182996323
78,0CO,9/4/2023 5:55,39.2,30.2,69.88,240,6,0,30.39,NA,10,20,CLR,9/4/2023,5:55,2023/09/04 05,4.333333333,-0.333333333,3.772589333,0,0,0,0,0,0,0,0,0,0,852.0079856,NA,snow,0.190375577,0,0,8.182996323
79,0CO,9/4/2023 6:55,41,30.2,65.16,220,8,0,30.38,NA,10,NA,CLR,9/4/2023,6:55,2023/09/04 06,4.333333333,-1,4.458514667,0,0,0,0,0,0,0,0,0,0,851.7276276,NA,snow,0.158731639,0,0,8.182996323
80,0CO,9/4/2023 7:55,41,30.2,65.16,210,8,0,30.38,NA,10,NA,CLR,9/4/2023,7:55,2023/09/04 07,5,-1,4.287033333,0,0,0,0,0,0,0,0,0,0,851.7276276,NA,snow,0.123020082,0,0,8.182996323
81,0CO,9/4/2023 8:55,42.8,30.2,60.79,210,9,0,30.36,NA,10,18,CLR,9/4/2023,8:55,2023/09/04 08,5.333333333,-1,4.115552,0,0,0,0,0,0,0,0,0,0,851.2603643,10.803324,mixed,0.634547214,0,0,8.182996323
82,0CO,9/4/2023 9:55,44.6,30.2,56.74,250,8,0,30.36,NA,10,21,SCT,9/4/2023,9:55,2023/09/04 09,7,-1,4.801477333,0,0,0,0,0,0,0,0,0,0,851.1669116,12.346656,mixed,0.624909963,0,0,8.182996323
83,0CO,9/4/2023 10:55,44.6,30.2,56.74,250,23,0,30.34,NA,10,27,SCT,9/4/2023,10:55,2023/09/04 10,7,-1,7.71666,0,0,0,0,0,0,0,0,0,0,850.9800063,13.889988,mixed,0.615272712,0,0,8.182996323
84,0CO,9/4/2023 11:55,44.6,37.4,75.68,300,9,0,30.35,NA,10,NA,SCT,9/4/2023,11:55,2023/09/04 11,7,1.666666667,6.516290667,0,0,0,0,0,0,0,0,0,0,850.6996483,NA,mixed,0.624909963,0,0,8.182996323
85,0CO,9/4/2023 12:55,46.4,32,57,260,16,0,30.33,NA,10,27,SCT,9/4/2023,12:55,2023/09/04 12,7.333333333,1,8.231104,0,0,0,0,0,0,0,0,0,0,850.4192903,13.889988,mixed,0.644184465,0,0,8.182996323
86,0CO,9/4/2023 13:55,50,28.4,43.03,230,10,0,30.33,NA,10,26,SCT,9/4/2023,13:55,2023/09/04 13,9,-2,7.71666,0,0,0,0,0,0,0,0,0,0,850.2323849,19.548872,mixed,0.711645221,0,0,8.182996323
87,0CO,9/4/2023 14:55,44.6,33.8,65.61,300,17,0,30.32,NA,10,28,SCT,9/4/2023,14:55,2023/09/04 14,9,-3,10.11739867,0,0,0,0,0,0,0,0,0,0,850.0454796,16.462208,mixed,0.634547214,0,0,8.182996323
88,0CO,9/4/2023 15:55,39.2,33.8,80.79,320,12,0,30.33,NA,10,22,SCT,9/4/2023,15:55,2023/09/04 15,5.333333333,1.333333333,4.458514667,0,0,0,0,0,0,0,0,0,0,850.3258376,NA,rain,6.001846667,0,0,8.182996323
89,0CO,9/4/2023 16:55,41,32,70.08,290,17,0,30.32,NA,10,28,BKN,9/4/2023,16:55,2023/09/04 16,4,0.666666667,7.202216,0,0,0,0,0,0,0,0,0,0,850.0454796,14.404432,rain,6.344809333,0,0,8.182996323
90,0CO,9/4/2023 17:55,44.6,28.4,52.72,NA,NA,0,30.33,NA,10,NA,SCT,9/4/2023,17:55,2023/09/04 17,5.666666667,0.333333333,NA,0,0,0,0,0,0,0,0,0,0,850.3258376,NA,mixed,0.673096217,0,0,8.182996323
91,0CO,9/4/2023 18:55,41,30.2,65.16,290,21,0,30.34,NA,10,28,SCT,9/4/2023,18:55,2023/09/04 18,5.333333333,-1.666666667,11.66073067,0,0,0,0,0,0,0,0,0,0,850.4192903,NA,mixed,0.70200797,0,0,8.182996323
92,0CO,9/4/2023 19:55,35.6,32,86.59,290,21,0,30.33,NA,10,30,SCT,9/4/2023,19:55,2023/09/04 19,2.666666667,0,9.431473333,0,0,0,0,0,0,0,0,0,0,850.4192903,15.43332,mixed,0.644184465,0,0,8.182996323
93,0CO,9/4/2023 20:55,33.8,32,93.03,280,30,0,30.32,NA,5,37,SCT,9/4/2023,20:55,2023/09/04 20,1.333333333,0,13.20406267,0,0,0,0,0,0,0,0,0,0,850.1389322,19.034428,mixed,0.547811955,0,0,8.182996323
94,0CO,9/4/2023 21:55,33.8,32,93.03,300,28,0,30.33,NA,3,36,SCT,9/4/2023,21:55,2023/09/04 21,1,0,13.889988,0,0,0,0,0,0,0,0,0,0,850.3258376,19.548872,mixed,0.567086457,0,0,8.182996323
95,0CO,9/4/2023 22:55,33.8,32,93.03,300,28,0,30.31,NA,10,47,SCT,9/4/2023,22:55,2023/09/04 22,1,0,16.462208,0,0,0,0,0,0,0,0,0,0,849.7651216,25.7222,mixed,0.644184465,0,0,8.182996323
96,0CO,9/4/2023 23:55,32,32,100,320,27,0,30.32,NA,2,41,SCT,9/4/2023,23:55,2023/09/04 23,0,0,13.375544,0,0,0,0,0,0,0,0,0,0,850.0454796,21.092204,mixed,0.653821715,0,0,8.182996323
97,0CO,9/5/2023 0:55,32,32,100,320,28,0,30.33,NA,0.25,35,OVC,9/5/2023,0:55,2023/09/05 00,0,0,13.54702533,0,0,0,0,0,0,0,0,0,0,850.5127429,18.519984,mixed,0.59599821,0,0,8.182996323
98,0CO,9/5/2023 1:55,32,32,100,330,25,0,30.35,NA,0.25,33,OVC,9/5/2023,1:55,2023/09/05 01,0,0,13.03258133,0,0,0,0,0,0,0,0,0,0,850.6996483,20.063316,mixed,0.470713948,0,0,8.182996323
99,0CO,9/5/2023 2:55,32,32,100,310,23,0,30.36,NA,0.25,38,OVC,9/5/2023,2:55,2023/09/05 02,0,0,11.48924933,0,0,0,0,0,0,0,0,0,0,851.0734589,19.548872,mixed,0.461076697,0,0,8.182996323
100,0CO,9/5/2023 3:55,32,32,100,330,21,0,30.37,NA,0.25,29,OVC,9/5/2023,3:55,2023/09/05 03,0,0,11.317768,0,0,0,0,0,0,0,0,0,0,851.3538169,16.976652,mixed,0.528537453,0,0,8.182996323
101,0CO,9/5/2023 4:55,32,30.2,92.97,340,20,0,30.38,NA,0.25,34,OVC,9/5/2023,4:55,2023/09/05 04,0,-0.666666667,11.317768,0,0,0,0,0,0,0,0,0,0,851.5407223,17.491096,mixed,0.412890442,0,0,8.182996323
102,0CO,9/5/2023 5:55,30.2,30.2,100,310,23,0,30.38,NA,0.25,34,OVC,9/5/2023,5:55,2023/09/05 05,-0.333333333,-1,11.14628667,0,0,0,0,0,0,0,0,0,0,851.8210803,17.491096,mixed,0.432164944,0,0,8.182996323
103,0CO,9/5/2023 6:55,30.2,30.2,100,320,17,0,30.43,NA,0.25,27,OVC,9/5/2023,6:55,2023/09/05 06,-1,-1,9.431473333,0,0,0,0,0,0,0,0,0,0,852.6621543,15.43332,mixed,NA,0,0,8.182996323
